reviewId,userName,score,at,content,thumbsUpCount,replyContent,repliedAt,appVersion
83611074-8a17-4dce-9d6f-6b56fa4c0a72,Kalyan Chakravarthi,1,2026-03-11T13:16:59,u r not present at all my location so stop giving me messages to order from u,0,"Hey! Looks like you've had an unpleasant experience. Could you please share the details of your concern at support@zeptonow.com? Our team will look into this right away.

Thank You,
Team Zepto",2025-02-18T23:54:29,26.2.8
36449bcd-d86d-4f3e-adf5-6e0131a14340,Anshu Valmiki,5,2026-03-11T13:16:51,good,0,,None,26.2.8
35a47094-5d16-44c4-be71-75626b54fe1e,Anil's Adventures,5,2026-03-11T13:08:39,on time delivery,0,,None,26.2.4
326cb94b-47c3-47c6-afb1-7d313a8e4140,Isarafil Ansari,5,2026-03-11T13:07:26,very good zepto app,0,,None,
3a999f81-9a4e-49c8-9603-655d1ff4eb2a,Radheshyaam,5,2026-03-11T12:58:14,help in daily life and emergency time.,0,,None,26.2.8
6265b48d-7308-4100-a7e7-48318cf87ae1,Pisike Kavitasubash,5,2026-03-11T12:49:06,nice,0,,None,26.2.8
716fce4d-7020-4775-972f-cbd6e73e2c88,Smita Pandit,5,2026-03-11T12:47:23,all goods are Good,0,,None,26.3.1
192be74d-eca5-47e6-af57-21ff9b83d812,PRIYANKA THAKUR,1,2026-03-11T12:45:56,it is zero in customer care think twice before buying anything. i bought an electronic item it turned out to be faulty but there is no customer support other than e-mails. And after a while they stopped responding to my emails . All the methods that were told were useless. . They are neither responding with exchange nor refund despite being the product comes with 3 days exchange Don't trust this app,0,"Hey!

Looks like you've had an unpleasant experience. Could you please share the details of your concern at support@zeptonow.com? Our team will look into this right away.

Thank You,
Team Zepto",2026-03-11T12:43:53,26.3.1
41571c3a-a5b6-44b5-bee7-2bb3576c9366,Babita Das,1,2026-03-11T12:42:50,our location is not serviceable and I request zepto to keep our location,0,"Hey!

Looks like you've had an unpleasant experience. Could you please share the details of your concern at support@zeptonow.com? Our team will look into this right away.

Thank You,
Team Zepto",2026-03-11T12:51:48,26.3.1
86186884-1d35-4cc8-8423-eae80fa67266,Soumik Jaydhar,5,2026-03-11T12:39:00,good working app,0,,None,26.2.8
aeb10903-459b-4f01-bc90-27e71ac20f2e,swathi k,5,2026-03-11T12:37:35,good,0,,None,26.3.1
6c48f829-3511-4398-bd95-c0422da999d3,UNIX Axis A,5,2026-03-11T12:36:04,fantastic AAP,0,,None,26.3.1
4f6256f8-e64e-4d41-a24a-787d0f962526,Rajesh Kumar,5,2026-03-11T12:35:51,good store,0,,None,26.2.8
7f884318-6a6c-4be5-93a9-e7599acfc1af,Mithun Goud,5,2026-03-11T12:35:33,good,0,,None,26.2.6
b7aeac7c-2e30-4909-b123-a0dda2628362,Ani Tha,5,2026-03-11T12:34:21,super service good job 🥳,0,,None,26.2.8
b7943f03-b4d4-4dd8-92fd-2964cb5fd2e5,Nuzhat Khan,5,2026-03-11T12:32:29,very good app,0,,None,26.2.4
1e5c2f38-25f2-4074-93c1-a3234fbd84f1,Only Hari,5,2026-03-11T12:31:22,Good,0,,None,26.3.1
ad51f19a-d277-4722-8e75-f48d56b7db56,Tinku Lal,5,2026-03-11T12:27:22,very good platform for Gorecy Delivery,0,,None,26.3.1
c8ff20ba-a5d1-4755-8a15-a21e2952c191,Mohini Sharma,5,2026-03-11T12:10:13,very fast delivery nice 👌,0,,None,26.3.1
bc7befa7-a2e1-4d8c-95c3-32d2ed8eb250,Siddharth Wadhe,5,2026-03-11T12:10:03,good 👍 Good 👍😊prodak super cChan,0,,None,26.3.1
62b941be-a049-4eeb-918b-62cc4d425148,Puneet Girdhar,1,2026-03-11T12:09:53,Order is getting delayed always. always come late by half an hour,0,"Hey!

Looks like you've had an unpleasant experience. Could you please share the details of your concern at support@zeptonow.com? Our team will look into this right away.

Thank You,
Team Zepto",2026-03-11T12:11:52,26.2.8
a1496b1d-43c8-4e6f-ae32-83a419241ac7,dineshkumar ravi,5,2026-03-11T12:02:06,super,0,,None,26.3.1
c7f0ba84-a8fa-48f0-9597-178a7792e865,Jagruti Modi,5,2026-03-11T12:02:03,good💯,0,,None,26.3.1
